#{"t_start": 1596008017.7630699, "env_id": null}
r,l,t
39,200,3.125246
41,200,5.713578
38,200,8.089278
41,200,10.644287
33,200,13.123947
41,200,15.588342
46,200,18.13526
44,200,20.65406
41,200,23.346737
43,200,25.801601
32,200,28.990952
48,200,31.553703
41,200,34.1202
41,200,36.566464
41,200,39.097334
40,200,41.973256
42,200,44.384027
40,200,46.858481
37,200,49.508734
43,200,52.11514
38,200,55.038076
46,200,57.645192
47,200,60.155974
45,200,62.808021
42,200,65.320673
37,200,68.633275
47,200,71.145672
43,200,73.695577
40,200,76.270838
35,200,79.064654
43,200,81.960932
44,200,84.523263
39,200,86.989719
37,200,89.559053
45,200,92.145083
41,200,95.192152
39,200,97.752689
36,200,100.22765
48,200,102.905977
42,200,105.379947
37,200,108.342383
44,200,111.001204
43,200,113.496001
35,200,116.145028
43,200,118.770896
44,200,121.640751
28,200,124.197296
36,200,126.791723
44,200,129.44112
37,200,131.931165
43,200,135.042133
42,200,137.56506
42,200,140.066614
55,200,142.511698
42,200,145.100568
42,200,148.361989
36,200,150.944632
46,200,153.514145
42,200,156.126068
41,200,158.750543
44,200,161.840068
50,200,164.394256
40,200,166.781107
39,200,169.363546
40,200,171.892364
41,200,174.721527
43,200,177.285044
44,200,179.986858
36,200,182.645289
33,200,185.270951
41,200,188.510376
38,200,190.999816
45,200,193.555714
49,200,196.19831
42,200,198.823817
39,200,201.853531
44,200,204.457207
33,200,207.166888
33,200,209.867579
44,200,212.261384
44,200,215.45521
46,200,218.072878
43,200,220.830784
43,200,223.426594
47,200,226.002104
45,200,228.921351
51,200,231.58957
37,200,234.113018
43,200,236.859641
39,200,239.460509
47,200,242.597613
48,200,245.249248
44,200,247.741457
40,200,250.350353
48,200,252.835568
41,200,256.004069
35,200,258.702994
41,200,261.351741
47,200,264.039114
43,200,266.745418
47,200,269.992523
43,200,272.414887
35,200,275.067329
41,200,277.900285
40,200,280.7
42,200,283.97893
45,200,286.521012
44,200,289.03232
36,200,291.589684
49,200,294.076553
51,200,297.470657
49,200,300.257171
39,200,302.971165
54,200,305.518687
33,200,308.175856
44,200,311.410713
37,200,314.010009
45,200,316.447162
48,200,318.976315
47,200,321.621609
37,200,324.843617
55,200,327.437411
42,200,330.144219
37,200,332.700702
45,200,335.302936
43,200,338.595324
44,200,340.961455
42,200,343.678194
40,200,346.357158
48,200,348.914623
48,200,352.070363
35,200,354.63232
39,200,357.253271
48,200,359.934433
52,200,362.482052
44,200,365.429018
54,200,368.043112
42,200,370.659694
33,200,373.617957
35,200,376.449428
38,200,379.81335
40,200,382.474163
52,200,385.003291
45,200,387.552894
37,200,390.127054
41,200,393.519037
55,200,396.038517
51,200,398.490146
45,200,401.138628
41,200,403.775441
37,200,406.84196
44,200,409.32146
44,200,411.968485
36,200,414.528785
42,200,417.189526
48,200,420.468889
42,200,423.103778
52,200,425.750447
41,200,428.220005
46,200,430.879383
46,200,434.081198
45,200,436.580394
37,200,439.227861
33,200,441.828248
55,200,444.291649
45,200,447.661654
45,200,450.077224
43,200,452.688291
40,200,455.338758
46,200,457.972213
44,200,461.529999
40,200,464.259463
41,200,466.830606
